,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
227,2015,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,1.05E+11,0.32
228,2015,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,88000000000,0.27
229,2015,42.8S,8.2E,,,,,,65000000000,0.21
230,2015,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,1.73E+11,0.49
231,2015,8.4N,157.9W,,,,,,42000000000,0.14
232,2015,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,64000000000,0.2
233,2015,5.4S,159.3E,50,,,,,1.21E+11,0.36
234,2015,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,72000000000,0.23
235,2015,39.1S,118.6W,,,,,,20000000000,0.073
236,2015,15.9S,88.1E,39.8,18,7.8,-16,-2.5,55000000000,0.18
237,2015,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,1.88E+11,0.53
238,2015,12.4N,122.4W,42,,,,,58000000000,0.19
239,2015,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,33000000000,0.11
240,2015,23.3S,49.2W,,,,,,22000000000,0.079
241,2015,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,1.39E+11,0.41
242,2015,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,1.36E+11,0.4
243,2015,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,20000000000,0.073
244,2014,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,44000000000,0.15
245,2014,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,33000000000,0.11
246,2014,76.6N,96.3E,26.3,,,,,78000000000,0.24
247,2014,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,7E+11,1.7
248,2014,18.8S,73.4W,38,,,,,55000000000,0.18
249,2014,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,1.18E+11,0.35
250,2014,68.2S,24.0W,37,19.9,-7,16.1,9.4,1.05E+11,0.32
251,2014,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,1.56E+11,0.45
252,2014,22.2N,132.9W,,,,,,34000000000,0.12
253,2014,4.6S,66.3W,39,,,,,72000000000,0.23
